"app_package_name","app_name","app_type","app_store_name","request_count","is_verified","source_system","etl_time"
"4com.baidu.map","4百度地图",,,"1","0","ADX","16/4/2026 05:18:41"
"5com.baidu.map","5百度地图",,,"1","0","ADX","16/4/2026 05:18:44"
"6586896com.baidu.map.6","65765百度地图 6",,,"1","0","ADX","16/4/2026 05:18:52"
"air.tv.douyu.android","air.tv.douyu.android",,,"64","0","ADX","16/4/2026 05:19:56"
"android.zhibo8","直播吧",,,"7","0","ADX","16/4/2026 05:18:49"
"anx.chuand.on","anx.chuand.on",,,"1","0","ADX","16/4/2026 05:19:56"
"app.duoliao","多料",,,"1","0","ADX","16/4/2026 05:19:40"
"app.jiadadang.ios","驾搭档",,,"1","0","ADX","16/4/2026 05:19:25"
"app.qiuqian.mnkj","秋千社区",,,"5","0","ADX","16/4/2026 05:18:42"
"buybal.nxys.cn","SDK聚合-iOS",,,"458","0","ADX","16/4/2026 05:18:46"
"can.yjgood.idesktop","can.yjgood.idesktop",,,"52","0","ADX","16/4/2026 05:19:43"
"cc.dofun.dofuntravel","兜风",,,"37","0","ADX","16/4/2026 05:18:46"
"cc.qcomic.lighterclan","1号LT",,,"17","0","ADX","16/4/2026 05:19:53"
"cc.qcomic.lighterclan","IOS",,,"1","0","ADX","16/4/2026 05:18:52"
"cc.qcomic.lighterclan","漂流瓶",,,"2","0","ADX","16/4/2026 05:18:44"
"cm.calculatorapp.com","计算器 - 无广告更流畅",,,"7","0","ADX","16/4/2026 05:18:52"
"cn.12306.rails12306","12306",,,"6","0","ADX","16/4/2026 05:19:49"
"cn.bevol.p","美丽修行-安卓",,,"150","0","ADX","16/4/2026 05:18:46"
"cn.bibledbs","读圣经",,,"2248","0","ADX","16/4/2026 05:19:53"
"cn.cangshuwaimai.user","仓鼠外卖",,,"13","0","ADX","16/4/2026 05:19:49"
"cn.colorv.lite","彩视极速版",,,"13","0","ADX","16/4/2026 05:19:49"
"cn.com.anlaiye","cn.com.anlaiye",,,"1","0","ADX","16/4/2026 05:18:32"
"cn.com.drivedu","SDK聚合-iOS",,,"1077","0","ADX","16/4/2026 05:18:46"
"cn.com.drivedu","车学堂",,,"3","0","ADX","16/4/2026 05:19:53"
"cn.com.trafficguide.hyggpt","车旺大卡-货车定位导航手机管车","出行/导航",,"15","0","ADX","16/4/2026 05:18:52"
"cn.com.yunma.yischool.app.2","易校园 2",,,"3","0","ADX","16/4/2026 05:19:19"
"cn.com.yunma.yischool.app.2","易校园IOS",,,"1","0","ADX","16/4/2026 05:18:48"
"cn.dachuangnn.happydrama","剧开心-安卓",,,"1","0","ADX","16/4/2026 05:18:41"
"cn.dcfuture.rainbow","",,,"4","0","ADX","16/4/2026 05:19:32"
"cn.djznkj.www","整个水",,,"2","0","ADX","16/4/2026 05:18:52"
"cn.duoyinhui","多饮商城饮水机取水系统",,,"1","0","ADX","16/4/2026 05:19:25"
"cn.fanlipai.android.app","cn.fanlipai.android.app",,,"1","0","ADX","16/4/2026 05:19:56"
"cn.fanlipai.android.app","返利派",,,"67","0","ADX","16/4/2026 05:19:53"
"cn.jagat.main2","cn.jagat.main2",,,"1","0","ADX","16/4/2026 05:19:11"
"cn.kaoshi100.kaoshi100","cn.kaoshi100.kaoshi100",,,"1","0","ADX","16/4/2026 05:19:47"
"cn.lbwdhysj.gf.ios","启明",,,"15","0","ADX","16/4/2026 05:18:52"
"cn.link.merge.puzzle.onnect.number","cn.link.merge.puzzle.onnect.number","游戏-休闲益智",,"6","0","ADX","16/4/2026 05:19:28"
"cn.lrapps.hidecall","隐号电话",,,"5","0","ADX","16/4/2026 05:19:38"
"cn.mingyuze.like","力刻运动",,,"5","0","ADX","16/4/2026 05:19:00"
"cn.mzbbx.xbbzm","洋洋成语",,,"2","0","ADX","16/4/2026 05:18:44"
"cn.neoclub.uki","SDK聚合-iOS","聊天社交",,"176","0","ADX","16/4/2026 05:18:46"
